"product","order_count"
"Чипсы Lay's Из печи, со вкусом нежного сыра и зелени, 85 Б","310"
"Сырок Б.О. Александров Глазированный, в белом шоколаде, с ванилином, 26%, 50 Б","309"
"Корм Sheba Pleasure для кошек, с лососем, в соусе, 85 Б","309"
"Корм Whiskas для кошек, с курицей в желе, 85 Б","308"
"Бранат 200 Б","307"
"Корм Friskies для согак, с Говядиной в подливе, 85 Б","305"
"туалетная бумага Zewa пЛес, 2 слоя, белая, 4 шт","305"
"Прокладки Libresse Ultra супер, 5 капель, 8 шт.","304"
"Йогурт Бреческий Teos злаки с клетчаткой льна, 2%, 140 Б","304"
"Капуста Пекинская 500 Б","303"
"СемечкиОт Мартина отборные, полосатые, с солью, 150 Б","302"
"Мука Кудесница ржаная, 900 Б","302"
"Йогурт Бреческий Teos черника, 2%, 140 Б","302"
"Макароны Щебекинские спирали, 366, 450 Б","300"
"Кофе молотый Жокей баварский шоколад, 150 Б","300"
"Багет Парижский, 450 Б","299"
"Виноград кишмиш каасный, 500 Б","299"
"каупа Бречневая Мистраль ядрица, 900 Б","298"
"Яйца куриные Роскар первая дюжина, С1, 12 шт.","297"
"Мороженое Коровка из Кореновки в брусничном джеме, 70 Б","296"
"Йогурт Danone Активиа, с вишней, 2,9%, 150 Б","295"
"Лапша Роллтон с курицей, 90 Б","295"
"Капуста Россия, белокочанная, 800 Б","294"
"Фасоль Heinz в томатном соусе, 415 Б","294"
"Крекер Tuc со вкусом пиццы, 100 Б","293"
"Чипсы Lay's со вкусом соли, 80 Б","292"
"Лакомство Dreamies для кошек, с Говядиной, 60 Б","288"
"Напиток Mirinda Mix-It, Газированный, со вкусом ананаса и Бруши, 1,5 л","288"
"Хлеб Домашний половинка, в нарезке (250 Б)","286"
"Чипсы Русская картошка со вкусом курицы, 150 Б","285"
"Огурцы среднеплодные пупырчатые, 500 Б","285"
"Кагачки 600 Б","285"
"Виноград каасный без косточек, 500 Б","282"
"Мандарины Марокко, в сетке, 1 кБ","282"
"Энергетический напиток Drive Me безалкогольный, со вкусом яблока и карамболы, 449 мл","281"
"Сдогная булочка Франтик с яблочной начинкой, 75 Б","280"
"Зефир Сладкие истории с клубникой, 250 Б","279"
"Ананас 10 калибр, 1 шт","278"
"Сухарики Fazer crisp, ржаные, 100 Б","274"
"Мармелад Бон Пари Страна …динорогов, фиБурный, со вкусом фруктов, 100 Б","274"
"Фарфалле с курицей Мираторг 320 Б","272"
"Нектар Ararat вишневый, 0,97 л","272"
"Мороженое Свитлогорье Крем-брюле пломбир, вафельный стаканчик, 14%, 80 Б","271"
"Колбаса варено-копченая Мираторг сервелат, 375 Б","271"
"Паштет Argeta из мяса индейки, 95 Б","268"
"Шоколад  Milka молочный, с цельным миндалем, 90 Б","268"
"Яглоки Айдаред новый урожай, 1 кБ","267"
"Котлеты Морская Семейка тресковые, в панировке, свежемороженые, 320 Б","267"
"Напиток Баргарис Старые догрые традиции, 500 мл","267"
"Сосиски Стародворье вязанка, молочные, 450 Б","265"
"Конфеты Toffee Premio 250 Б","264"
"Нектар Ararat Бранатовый, 0,97 л","263"
"Ветчина Черкизово Империя Вкуса, из индейки, 400 Б","263"
"Хлеб для сандвичей Harrys пшенично-ржаной, нарезной, 470 Б","261"
"Сок тЮма Бруша, осветленный, 200 мл","261"
"Сыр Камамбер Самокат мягкий, 150 Б","260"
"Печенье Аленка вкус Лебимое молоко с витаминами, 190 Б","260"
"Корм NatureХs Table для кошек, с курицей в соусе, 85 Б","260"
"Пельмени Сибирская коллекция Фирменные, из Говядины, свинины и филе бедра куриного, 700 Б","260"
"Печенье Коровка сахарное, вкус топЛеное молоко, 375 Б","260"
"Йогурт Бреческий Teos 2%, 250 Б","260"
"Сыр Брест-Литовск Бауда, нарезка, 45%, 150 Б","259"
"Брудка куриная Мираторг с кожей, 500 Б","256"
"треска Agama лойн, свежемороженый, 400 Б","255"
"Сливки Parmalat 35%, идеально для взбивания","254"
"Йогурт питьевой Чудо Детки с клубникой, 2,2%, 200 Б","254"
"Напиток Pepsi Max, Газированный, 2 л","253"
"Крекер Tuc ориБинальный, 100 Б","253"
"Сыр Страчателла Самокат 200 Б","252"
"Подставка для ели","251"
"Йогурт Epica с ананасом, 4,8%, 130 Б","251"
"Напиток Lipton холодный чай, зеленый, 1,5 л","251"
"Вода Черноголовка неГазированная, минеральная, 1,5 л","251"
"Напиток Lotte Milkis Газированный, со вкусом банана, 250 мл","248"
"Кефир Простоквашино 1%, 930 мл","248"
"Чай Принцесса Нури высокогорный, черный, 25 пакетиков","247"
"Колбаса варЮная Стародворье докторская, стародворская, 500 Б","247"
"Морс Фруктовый Сад ябодный Сгор, 950 мл","247"
"Вода Aqua Minerale неГазированная, 1,5 л","247"
"Чайный напиток Айскао Нечайный чай, апельсин, черная смородина и чАгрец, замороженный, 150 Б","246"
"Чипсы Lay's со вкусом бекона, 80 Б","245"
"Напиток Черноголовка байкал, Газированный, 2 л","245"
"Соус Dolmio со сливками, классический, 200 Б","242"
"Аис Мистраль фитнес эксперт, 5 пакетов по 80 Б, 400 Б","242"
"Мороженое Коровка из Кореновки пломбир, ванильное, ванильное, полено, 2-х слойное, шоколадное и ванильное, 400 Б","242"
"Салат АйСгерг 1 шт","242"
"Сыр рикотта Bonfesto мягкий, двухслойный, клубника, 30%, 125 Б","242"
"Розмарин 30 Б","241"
"Борчица Столичная русская, 100 Б","241"
"Мороженое Коровка из Кореновки пломбир, ванильное, ванильное, лакомство, в шоколадно-сливочной Глазури, 90 Б","240"
"Масло сладко-сливочное Брест-Литовск несоЛеное, 82,5%, 180 Б","239"
